"structure_id","level","name","label"
30201,"indicator","dig_strategy","Digital strategy & policy"
30201.01,"metric","digital_strategy","Digital government strategy"
30202,"indicator","dig_infrastructure","Cross-government infrastructure"
30202.01,"metric","backend_infrastructure","Technology and infrastructure"
30204,"indicator","dig_services","End-user services"
30204.01,"metric","service_portals","Digital service portals"
30300,"theme","natdel_tax","Tax administration"
30301,"indicator","tax_organisation","Tax organisation"
30301.01,"metric","tax_admincost","Administrative costs"
30301.02,"metric","tax_staffturnover","Turnover of tax agency staff"
30302,"indicator","tax_compliance","Tax compliance"
30302.01,"metric","corptax_filing","Corporate taxes filed on-time"
30302.02,"metric","perstax_filing","Personal taxes filed on-time"
30302.03,"metric","corptax_payment","Corporate taxes paid on-time"
30302.04,"metric","perstax_payment","Personal taxes paid on-time"
30302.05,"metric","tax_time","Time to file taxes"
30302.06,"metric","tax_debt","Tax debts/arrears"
30303,"indicator","tax_digital","Digital tax channels"
30303.01,"metric","etax_corporate","Corporate taxes filed electronically"
30303.02,"metric","etax_personal","Personal taxes paid electronically"
30303.03,"metric","etax_payment","Taxes paid electronically"
30303.04,"metric","etax_contacts","Digital channels for tax advice/help"
30400,"theme","natdel_brd","Border services"
30401,"indicator","brd_customs","Customs"
30401.01,"metric","customs_clearance","Efficiency of customs processes"
40000,"domain","pplprc","People & Processes"
40200,"theme","pplprc_inc","Diversity & inclusion"
40201,"indicator","inc_recruitment","Inclusive recruitment"
40201.01,"metric","recruitment_gender","Inclusive recruitment: gender"
40201.02,"metric","recruitment_location","Inclusive recruitment: location"
40201.03,"metric","recruitment_socioecon","Inclusive recruitment: socio-economic background"
40201.04,"metric","recruitment_social","Inclusive recruitment: social group"
40201.05,"metric","recruitment_political","Inclusive recruitment: political affiliation"
40202,"indicator","inc_gender","Gender diversity"
40202.01,"metric","gender_pubadmin","Women in public administration (rate)"
40202.02,"metric","gender_taxofficials","Women in tax agency workforce"
40202.03,"metric","gender_payratio","Ratio of female to male public-sector pay"
40203,"indicator","inc_management","Gender diversity - management"
40203.01,"metric","gender_managers","Women in public sector management"
40203.03,"metric","gender_seniortax","Women in senior tax agency roles"
40300,"theme","pplprc_hrm","HR management"
40301,"indicator","hrm_regime","HR regime"
40301.01,"metric","recruitment_level","Recruitment level of entry"
40301.02,"metric","secure_tenure","Security of tenure"
40302,"indicator","hrm_meritocratic","Meritocratic appointment"
40302.01,"metric","recruitment_merit","Recruitment by merit"
40302.02,"metric","recruitment_patronage1","Recruitment by patronage (QOG)"
40302.03,"metric","recruitment_patronage2","Recruitment not by patronage (VDEM)"
40400,"theme","pplprc_pro","Procurement"
40401,"indicator","pro_data","Procurement data"
40401.01,"metric","procurement_data","Public procurement data"
40500,"theme","pplpro_twk","Technology & workplaces"
40501,"indicator","tch_adminsys","Administrative systems"
40501.01,"metric","administrative_systems","Administrative IT systems"
